Avg_Hosp,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation,Avg_State_Category
1.0,2,1,1,16.0,13.0,0.0001,0.0008,0.0006,1.0
0.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2,1,3,7.0,7.0,0.0,0.0004,0.0003,1.0
27.0,2,1,4,108.0,152.0,0.0018,0.0052,0.006999999999999999,1.0
0.0,2,1,5,2.0,2.0,0.0,0.0001,0.0001,1.0
15.0,2,1,6,8.0,8.0,0.001,0.0004,0.0004,1.0
471.0,2,1,7,537.0,585.0,0.0313,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
5908.0,2,2,3,9801.0,10139.0,0.39189999999999997,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2,2,6,22.0,19.0,0.0002,0.0011,0.0009,1.0
419.0,2,2,7,1495.0,1545.0,0.0278,0.0719,0.07139999999999999,2.0
866.0,2,3,1,999.0,825.0,0.0574,0.0481,0.0381,1.0
220.0,2,3,2,198.0,149.0,0.0146,0.0095,0.0069,1.0
802.0,2,3,3,3004.0,2857.0,0.053200000000000004,0.1446,0.132,4.0
337.0,2,3,4,705.0,855.0,0.0223,0.0339,0.0395,1.0
5260.0,2,3,5,2630.0,3228.0,0.3489,0.1266,0.1491,3.0
68.0,2,3,6,103.0,89.0,0.0045000000000000005,0.005,0.0040999999999999995,1.0
679.0,2,3,7,1142.0,1174.0,0.045,0.055,0.0542,2.0
15075.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
17.0,2,1,1,16.0,13.0,0.0008,0.0008,0.0006,1.0
0.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
22.0,2,1,3,7.0,7.0,0.001,0.0004,0.0003,1.0
128.0,2,1,4,108.0,152.0,0.005699999999999999,0.0052,0.006999999999999999,1.0
2.0,2,1,5,2.0,2.0,0.0001,0.0001,0.0001,1.0
2.0,2,1,6,8.0,8.0,0.0001,0.0004,0.0004,1.0
621.0,2,1,7,537.0,585.0,0.0278,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
10412.0,2,2,3,9801.0,10139.0,0.4656,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2,2,6,22.0,19.0,0.0007000000000000001,0.0011,0.0009,1.0
1779.0,2,2,7,1495.0,1545.0,0.0795,0.0719,0.07139999999999999,2.0
955.0,2,3,1,999.0,825.0,0.042699999999999995,0.0481,0.0381,1.0
185.0,2,3,2,198.0,149.0,0.0083,0.0095,0.0069,1.0
3689.0,2,3,3,3004.0,2857.0,0.165,0.1446,0.132,4.0
569.0,2,3,4,705.0,855.0,0.0254,0.0339,0.0395,1.0
2577.0,2,3,5,2630.0,3228.0,0.1152,0.1266,0.1491,3.0
69.0,2,3,6,103.0,89.0,0.0031,0.005,0.0040999999999999995,1.0
1318.0,2,3,7,1142.0,1174.0,0.059000000000000004,0.055,0.0542,2.0
22360.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
10.0,2,1,1,16.0,13.0,0.0006,0.0008,0.0006,1.0
2.0,2,1,2,1.0,1.0,0.0001,0.0,0.0,1.0
8.0,2,1,3,7.0,7.0,0.0005,0.0004,0.0003,1.0
42.0,2,1,4,108.0,152.0,0.0023,0.0052,0.006999999999999999,1.0
1.0,2,1,5,2.0,2.0,0.0,0.0001,0.0001,1.0
5.0,2,1,6,8.0,8.0,0.0003,0.0004,0.0004,1.0
482.0,2,1,7,537.0,585.0,0.0259,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
7968.0,2,2,3,9801.0,10139.0,0.4286,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2,2,6,22.0,19.0,0.0004,0.0011,0.0009,1.0
